Patent ID,Generated Question
EP1122334A2,<IMG> Identify the SMILES notation for the compound shown in EP1122334A2.
EP1560542A2,<IMG> Provide the canonical SMILES representation for the compound shown in patent EP1560542A2.
EP1560543B1,<IMG> What is the SMILES representation of the molecule shown in patent EP1560543B1?
EP1566178A1,<IMG> What is the SMILES representation of the molecule shown in EP1566178A1?
EP1566189A2,<IMG> What is the SMILES representation of the compound depicted in patent EP1566189A2?
EP1852108A2,<IMG> Convert the depicted molecule in patent EP1852108A2 to its SMILES string.
EP1875901A2,<IMG> What is the SMILES notation for the molecule shown in patent EP1875901A2?
EP1893456A1,<IMG> What is the SMILES representation of the molecule shown in patent EP1893456A1?
EP1980234A1,<IMG> Extract the SMILES notation of the compound shown in EP1980234A1.
EP1980246A2,<IMG> What is the SMILES representation of the molecule shown in EP1980246A2?
EP1980251A2,<IMG> Provide the SMILES notation for the molecule shown in patent EP1980251A2.
EP1980256A2,<IMG> What is the SMILES representation of the molecule shown in patent EP1980256A2?
EP1980256B1,<IMG> What is the SMILES representation of the compound depicted in EP1980256B1?
EP1980265A1,<IMG> What is the SMILES representation of the molecule shown in the image from patent EP1980265A1?
EP1980267A2,<IMG> What is the SMILES representation of the molecule shown in patent EP1980267A2?
EP1982732A1,<IMG> Determine the SMILES notation for the molecule shown in patent EP1982732A1.
EP1984321A1,<IMG> What is the SMILES representation of the molecule shown in patent EP1984321A1?
EP1984382A2,<IMG> Provide the SMILES string for the molecule shown in the image from patent EP1984382A2.
EP1985256A1,<IMG> Can you provide the SMILES notation for the molecule shown in patent EP1985256A1?
EP1985263A1,<IMG> What is the SMILES representation of the compound displayed in EP1985263A1?
EP1985276A2,<IMG> What is the SMILES representation of the compound shown in patent EP1985276A2?
EP1985278A2,<IMG> Can you provide the SMILES representation for the molecule shown in patent EP1985278A2?
EP1985281A2,<IMG> What is the SMILES representation of the compound depicted in patent EP1985281A2?
EP1985289A2,<IMG> Provide the SMILES string for the molecule shown in the image from patent EP1985289A2.
EP1985321B1,<IMG> What is the SMILES representation of the molecule shown in patent EP1985321B1?
EP1987654A1,<IMG> Provide the SMILES string for the molecule shown in the image from patent EP1987654A1.
EP1987654A2,<IMG> Provide the canonical SMILES representation of the molecule shown in EP1987654A2.
EP1987654B1,<IMG> What is the standard SMILES representation for the molecule shown in patent EP1987654B1?
EP1987856A1,<IMG> What is the SMILES representation of the molecule shown in the image from patent EP1987856A1?
EP1987856A2,<IMG> Provide the SMILES notation for the molecule shown in patent EP1987856A2.
EP1987890A2,<IMG> Provide the canonical SMILES representation of the compound shown in EP1987890A2.
EP1988834A2,<IMG> Identify the SMILES notation for the molecule shown in the image from patent EP1988834A2.
EP1988843A2,<IMG> What is the SMILES representation of the molecule shown in patent EP1988843A2?
EP2281848A2,<IMG> What is the SMILES representation of the molecule shown in patent EP2281848A2?
EP2289531A1,<IMG> What is the SMILES representation of the molecule shown in EP2289531A1?
EP2345678A1,<IMG> Convert the depicted molecule in EP2345678A1 to its corresponding SMILES notation.
EP2345678A2,<IMG> Provide the canonical SMILES representation for the molecule shown in EP2345678A2.
EP2452696A1,<IMG> What is the SMILES representation of the molecule shown in the image from patent EP2452696A1?
EP2452698A1,<IMG> Identify the SMILES notation for the compound depicted in EP2452698A1.
EP2457581A1,<IMG> What is the SMILES representation of the molecule shown in EP2457581A1?
EP2457586A1,<IMG> What is the canonical SMILES representation of the molecule shown in EP2457586A1?
EP2457588A1,<IMG> Provide the SMILES representation of the molecule shown in the image from patent EP2457588A1.
EP2457589A1,<IMG> What is the SMILES representation of the compound depicted in EP2457589A1?
EP2457593A1,<IMG> Identify the SMILES notation of the compound depicted in EP2457593A1.
EP2457890A1,<IMG> What is the SMILES representation of the compound depicted in patent EP2457890A1?
EP2457896A1,<IMG> Provide the canonical SMILES representation of the compound shown in EP2457896A1.
EP2465870A1,<IMG> What is the SMILES representation of the molecule shown in patent EP2465870A1?
EP2465876A1,<IMG> Extract the SMILES notation for the compound shown in EP2465876A1.
EP2468109B1,<IMG> What is the SMILES string for the compound depicted in patent EP2468109B1?
EP2481406A1,<IMG> What is the SMILES representation of the molecule shown in patent EP2481406A1?
EP2486942A1,<IMG> What is the SMILES representation of the compound displayed in patent EP2486942A1?
EP2501234A1,<IMG> Provide the SMILES notation for the molecule shown in the image from patent EP2501234A1.
EP2501283A2,<IMG> What is the SMILES representation of the molecule shown in patent EP2501283A2?
EP2501298B1,<IMG> Provide the SMILES notation for the compound shown in EP2501298B1.
EP2502636A1,<IMG> What is the SMILES representation of the molecule shown in EP2502636A1?
EP2502921A1,<IMG> Convert the chemical structure shown in EP2502921A1 to its SMILES notation.
EP2504021A2,<IMG> Extract the SMILES representation of the molecule shown in EP2504021A2.
EP2504031A1,<IMG> What is the SMILES representation of the compound depicted in EP2504031A1?
EP2504033A1,<IMG> What is the SMILES representation of the compound depicted in EP2504033A1?
EP2505201A1,<IMG> Translate the chemical structure from EP2505201A1 into its SMILES representation.
