Patent ID,Generated Question
EP1122334A2,<IMG> Is this molecule shown here considered a core structure?
EP1560542A2,<IMG> Does this molecule serve as a foundational core in the structure?
EP1560543B1,<IMG> Does this molecular image depict a core structure?
EP1566178A1,<IMG> Is this molecule considered a core structure in medicinal chemistry?
EP1566189A2,<IMG> Is this structure a core framework of the molecule?
EP1852108A2,<IMG> Is the molecule shown here a core structure?
EP1875901A2,<IMG> Is this molecule a core structure in medicinal chemistry?
EP1893456A1,<IMG> Does this molecule represent a core framework?
EP1980234A1,<IMG> Does this molecule represent a core structure in the given image?
EP1980246A2,<IMG> Does this molecular image depict a core structure?
EP1980251A2,Does the molecule shown in <IMG> represent a core structure?
EP1980256A2,<IMG> Does this structure represent a core scaffold in drug design?
EP1980256B1,<IMG> Does this molecule represent a core structure in its class?
EP1980265A1,<IMG> Does this molecular image depict a core structure?
EP1982732A1,<IMG> Does this molecule represent a core framework?
EP1984321A1,<IMG> Does this molecular image depict a core structure?
EP1984382A2,<IMG> Does this molecule represent a fundamental core structure?
EP1985256A1,<IMG> Is this molecule a core structure in medicinal chemistry?
EP1985263A1,<IMG> Is this molecule considered a core structure?
EP1985276A2,<IMG> Does this molecule have a core-like structure?
EP1985278A2,<IMG> Is this molecule considered a core scaffold in drug design?
EP1985281A2,<IMG> Does this molecule represent a core framework?
EP1985289A2,<IMG> Is the molecule shown here considered a core structure?
EP1987654A1,<IMG> Does this molecule have the characteristics of a core structure?
EP1987654A2,Does the structure shown in <IMG> represent a core framework?
EP1987654B1,<IMG> Is this molecule considered a core scaffold?
EP1987856A2,<IMG> Does this molecular image depict a core structure?
EP1987890A2,<IMG> Does this molecule represent a core structure in the given image?
EP1988834A2,<IMG> Does the molecule shown here serve as a core framework?
EP1988843A2,<IMG> Does this molecular image depict a core structure?
EP2345678A1,<IMG> Does this molecule have a core-like structure?
EP2345678A2,<IMG> Is this molecule considered a core structure?
EP2452696A1,<IMG> Is this molecular structure a core framework?
EP2452698A1,<IMG> Is this molecule a core structure?
EP2457581A1,<IMG> Does this molecular image depict a core structure?
EP2457588A1,<IMG> Does this molecule represent a core structure?
EP2457589A1,<IMG> Does this molecule represent a fundamental core structure?
EP2457593A1,<IMG> Does this molecule represent a core structure when analyzed?
EP2457890A1,<IMG> Does this molecule have a core-like structural framework?
EP2465870A1,<IMG> Does the pictured molecule qualify as a core structure?
EP2465876A1,<IMG> Does this molecule serve as a core framework in the structure?
EP2468109B1,Does the molecule shown in <IMG> qualify as a core structure?
EP2481406A1,<IMG> Does this molecular structure represent a core scaffold?
EP2486942A1,<IMG> Does this molecule represent a core structural motif?
EP2501234A1,<IMG> Does this molecule exhibit the characteristics of a core structure?
EP2501283A2,<IMG> Is this compound a core structure in medicinal chemistry?
EP2501298B1,<IMG> Is this molecule shown a core structure?
EP2502636A1,<IMG> Does this structure represent a core molecular scaffold?
